"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241347005","110000050","531.000","43"
"241347005","110000049","609.000","24"
"241347005","110000048","392.000","42"
"241347005","110000047","316.000","25"
"241347005","110000046","194.000","41"
"241347005","110000045","271.000","26"
"241347005","110000044","413.000","40"
"241347005","110000043","479.000","27"
"241347005","110000042","373.000","39"
"241347005","110000041","294.000","28"
"241347005","110000040","483.000","38"
"241347005","110000039","426.000","29"
"241347005","110000018","326.000","37"
"241347005","110000017","368.000","35"
"241347005","110000014","301.000","36"
"241347005","106000120","390.000","32"
"241347005","106000118","297.000","31"
"241347005","106000010","158.000","33"
"241347005","106000008","332.000","34"
"241339004","221000382","136.000","21"
"241339004","221000377","290.000","28"
"241339004","221000376","330.000","47"
"241339004","221000373","371.000","51"
"241339004","221000372","188.000","24"
"241339004","221000371","200.000","52"
"241339004","221000370","424.000","23"
"241339004","221000369","477.000","53"
"241339004","221000368","254.000","22"
"241339004","221000367","308.000","54"
"241339004","221000366","267.000","20"
"241339004","221000365","309.000","55"
"241339004","221000364","216.000","19"
"241339004","221000363","223.000","56"
"241339004","221000362","362.000","18"
"241339004","221000355","160.000","30"
"241339004","221000350","260.000","26"
"241339004","221000349","444.000","25"
"241339004","221000344","637.000","45"
"241339004","221000339","240.000","48"
"241339004","221000304","629.000","73"
"241339004","221000304","0.000","1"
"241339004","221000302","180.000","2"
"241339004","221000252","710.000","41"
"241339004","221000251","275.000","34"
"241339004","221000244","450.000","71"
"241339004","221000243","450.000","4"
"241339004","221000242","470.000","72"
"241339004","221000241","695.000","3"
"241339004","221000234","160.000","46"
"241339004","221000233","280.000","29"
"241339004","221000232","300.000","50"
"241339004","221000231","270.000","27"
"241339004","221000192","310.000","49"
"241339004","221000171","585.000","39"
"241339004","221000168","195.000","40"
"241339004","221000167","450.000","35"
"241339004","221000155","260.000","42"
"241339004","221000154","510.000","43"
"241339004","221000153","520.000","44"
"241339004","221000151","380.000","66"
"241339004","221000150","400.000","67"
"241339004","221000149","160.000","68"
"241339004","221000148","380.000","69"
"241339004","221000147","360.000","70"
